village_code,name,jenis,code
5171021014,Banjar Tembau Kelod,dinas,
5171012009,Banjar Penyaringan,adat,
5171012009,Banjar Belong,dinas,
5171012009,Banjar Pekandelan,dinas,
5171012009,Banjar Batanpoh,dinas,
5171012009,Banjar Anggarkasih,dinas,
5171012009,Banjar Buruwan,dinas,
5171012009,Banjar Tegal Asah,dinas,
5171012009,Banjar Langon,dinas,
5171012009,Banjar Wirasana,dinas,
5171012010,Banjar Danginpeken,dinas,
5171012010,Banjar Medura,dinas,
5171012010,Banjar Abiantimbul,dinas,
5171012010,Banjar Tewel,dinas,
5171012010,Banjar Puseh,dinas,
5171012010,Banjar Penopengan,dinas,
5171012010,Banjar Pekandelan,dinas,
5171012010,Banjar Belanjong,dinas,
5171012010,Banjar Tanjung,dinas,
5171012010,Banjar Betngandang,dinas,
5171012010,Banjar Puseh Kauh,dinas,
5171011003,Banjar Kampung Bugis,dinas,
5171011003,Banjar Suwung Batan Kendal,dinas,
5171011003,Banjar Karya Dharma,dinas,
5171011003,Banjar Pegok,dinas,
5171011003,Banjar Taman Sari,dinas,
5171011003,Banjar Taman Suci,dinas,
5171011003,Banjar Lantang Bejuh,dinas,
5171011003,Banjar Dukuh Sari,dinas,
5171011003,Banjar Gaduh,dinas,
5171011003,Banjar Alas Arum,dinas,
5171011003,Banjar Tengah,dinas,
5171011003,Banjar Pembungan,dinas,
5171011003,Banjar Kaja,dinas,
5171011003,Banjar Puri Agung,dinas,
5171012007,Banjar Sari,dinas,
5171012007,Banjar Dukuh Mertajati,dinas,
5171012007,Banjar Tengah,dinas,
5171012007,Banjar Graha Kerti,dinas,
5171012007,Banjar Kerta Sari,dinas,
5171012007,Banjar Graha Santhi,dinas,
5171012007,Banjar Sekar Kangin,dinas,
5171012007,Banjar Kerta Dalem,dinas,
5171012007,Banjar Suwung Kangin,dinas,
5171012007,Banjar Kerta Raharja,dinas,
5171012007,Banjar Wira Satya,dinas,
5171012007,Banjar Kerta Petasikan,dinas,
5171021006,Banjar Abian Kapas,dinas,
5171021006,Banjar Abian Kapas Tengah,dinas,
5171021006,Banjar Abian Kapas Kelod,dinas,
5171021006,Banjar Ketapian Kaja,dinas,
5171021006,Banjar Ketapian,dinas,
5171021006,Banjar Tanjung Bungkak I,dinas,
5171021006,Banjar Buaji Sari,dinas,
5171022008,Banjar Ratna Bhuwana,dinas,
5171022008,Banjar Pagan Kaja,dinas,
5171022008,Banjar Pagan Tengah,dinas,
5171022008,Banjar Pagan Kelod,dinas,
5171022008,Banjar Kelandis,dinas,
5171022008,Banjar Eka Dharma,dinas,
5171041004,Banjar Tatasan Kelod,dinas,
5171041004,Banjar Tatasan Kaja,dinas,
5171041004,Banjar Tega,dinas,
5171041004,Banjar Oongan,dinas,
5171041004,Banjar Kedaton / Sengguan,dinas,
5171041004,Banjar Batanancak / Tegeh Kuri,dinas,
5171041004,Banjar Tangguntiti,dinas,
5171041004,Banjar Tegeh Sari,dinas,
